ababa	a- ba- ba
abagikubita	a- ba- ki- kubita
abagikunda	a- ba- ki- kunda
abagira	a- ba- gira
abagiraga	a- ba- gira -aga
abagiraho	a- ba- gira -ho
abagiramo	a- ba- gira -mo
abagirana	a- ba- gira -an
abagiranye	a- ba- gira -an -ye
abagire	a- ba- gira -e
abagirira	a- ba- gira -ir
abagirire	a- ba- gira -ir -e
abagirirwa	a- ba- gira -ir -w
abagiriwe	a- ba- ki- riwe
abagiriye	a- ba- gira -iye
abagiriyemo	a- ba- gira -iye -mo
abagirwa	a- ba- girwa
abagisangira	a- ba- ki- sangira
abagisarura	a- ba- ki- sarura
abagisebya	a- ba- ki- sebya
abagisesengura	a- ba- ki- sesengura
abagishaka	a- ba- ki- shaka
abagishakishwa	a- ba- ki- shakisha -w
abagishenye	a- ba- ki- shenye
abagishinze	a- ba- ki- shinze
abagishyigikira	a- ba- ki- shyigikira
abagishyira	a- ba- ki- shyira
abagishyizeho	a- ba- ki- shyize -ho
abagisiga	a- ba- ki- siga
abagisohotsemo	a- ba- ki- sohotse -mo
abagisura	a- ba- ki- sura
abagitanga	a- ba- ki- tanga
abagitangira	a- ba- ki- tangira
abagiteguye	a- ba- ki- teguye
abagitekereje	a- ba- ki- tekereje
abagitekereza	a- ba- ki- tekereza
abagiterwa	a- ba- ki- tera -w
abagitinya	a- ba- ki- tinya
abagituriye	a- ba- ki- tura -iye
abagituye	a- ba- ki- tuye
abagituyemo	a- ba- ki- tuye -mo
abagitwara	a- ba- ki- twara
abagiye	a- ba- giye
abagiyemo	a- ba- giye -mo
abagize	a- ba- gize
abagizemo	a- ba- gize -mo
abagizi	a- ba- ki- zi
abagizwe	a- ba- ki- za -w -e
abagizweho	a- ba- ki- za -w -e -ho
abagoboka	a- ba- goboka
abagomba	a- ba- gomba
abagombaga	a- ba- gomba -aga
abagombwa	a- ba- gomba -w
abagombye	a- ba- gombye
abagora	a- ba- gora
abagorore	a- ba- gorora -e
abagororwa	a- ba- gorora -w
abagorwa	a- ba- gorwa
abagorwaga	a- ba- gorwa -aga
abagoye	a- ba- goye
abaguca	a- ba- ku- ca
abagucyaha	a- ba- ku- cyaha
abaguhishe	a- ba- ku- hishe
abagukomokaho	a- ba- ku- komoka -ho
abagukoreye	a- ba- ku- koreye
abagukunda	a- ba- ku- kunda
abagumye	a- ba- guma -ye
abagura	a- ba- gura
abagurijwe	a- ba- gura -ije -w
abagurira	a- ba- gura -ir
abagurishaga	a- ba- gurisha -aga
abagurishije	a- ba- gurishije
abagushuka	a- ba- ku- shuka
abagutera	a- ba- ku- tera
abagutesha	a- ba- ku- ta -ish
abagutoye	a- ba- ku- toye
abagutumye	a- ba- ku- tumye
abaguye	a- ba- guye
abaguza	a- ba- guza
abaguze	a- ba- guze
abaguzwe	a- ba- guzwe
abagwa	a- bagwa
abagwiririwe	a- ba- gwira -ir -iye -w
abagwiriwe	a- ba- gwira -iye -w
abagwiriye	a- ba- gwiriye
abaha	a- ba- ha
abahabaga	a- ba- haba -aga
abahabaye	a- ba- ha- baye
abahabereye	a- ba- ha- bereye
abahabonye	a- ba- ha- bonye
abahabwa	a- ba- habwa
abahabwaga	a- ba- habwa -aga
abahabyariye	a- ba- ha- byara -iye
abahacikiye	a- ba- ha- cika -iye
abahacisha	a- ba- ha- ca -ish
abahacukura	a- ba- ha- cukura
abahacukuye	a- ba- ha- cukuye
abahacuruzaga	a- ba- ha- curuza -aga
abahadodera	a- ba- ha- doda -ir
abahafatira	a- ba- ha- fata -ir
abahafite	a- ba- ha- fite
abahafungiye	a- ba- ha- funga -iye
abahagana	a- ba- ha- gana
abahagararaga	a- ba- hagarara -aga
abahagararira	a- ba- hagararira
abahagarariye	a- ba- hagarariye
abahagarika	a- ba- hagarika
abahagarikira	a- ba- hagarika -ir
abahagarikiwe	a- ba- hagarika -iye -w
abahagarikiye	a- ba- hagarika -iye
abahagarikwa	a- ba- hagarika -w
abahagaritse	a- ba- hagaritse
abahagaze	a- ba- ha- gaze
abahagenda	a- ba- ha- genda
abahageze	a- ba- ha- geze
abahagije	a- ba- hagije
abahaguruka	a- ba- haguruka
abahagurukira	a- ba- haguruka -ir
abahagurukiye	a- ba- haguruka -iye
abahagurutse	a- ba- hagurutse
abahaguye	a- ba- ha- guye
abahagwa	a- ba- ha- gwa
abahaha	a- ba- haha
abahahamuka	a- ba- hahamuka
abahahamutse	a- ba- hahamutse
abahahindura	a- ba- ha- hindura
abahahinga	a- ba- ha- hinga
abahahira	a- ba- haha -ir
abahahiraga	a- ba- haha -ir -aga
abahahungiraga	a- ba- ha- hungira -aga
abahahungiye	a- ba- ha- hungiye
abahaje	a- ba- ha- je
abahakana	a- ba- hakana
abahakanaga	a- ba- hakana -aga
abahakora	a- ba- ha- kora
abahakoraga	a- ba- ha- kora -aga
abahakorera	a- ba- ha- korera
abahakoze	a- ba- ha- koze
abahakunda	a- ba- ha- kunda
abahamagara	a- ba- hamagara
abahamagare	a- ba- hamagara -e
abahamagarira	a- ba- hamagara -ir
abahamagariwe	a- ba- hamagara -iye -w
abahamagariye	a- ba- hamagara -iye
abahamagarwa	a- ba- hamagara -w
abahamara	a- ba- ha- mara
abahamaze	a- ba- ha- maze
abahambirwaga	a- ba- hambira -w -aga
abahamijwe	a- ba- hama -ije -w
abahamwa	a- ba- hama -w
abahamwe	a- ba- hama -w -e
abahana	a- ba- hana
abahangana	a- ba- hangana
abahanganye	a- ba- hanganye
abahangayikishijwe	a- ba- hangayika -ish -ije -w
abahaniwe	a- ba- hana -iye -w
abahanwa	a- ba- hana -w
abahanwe	a- ba- hana -w -e
abahanyura	a- ba- ha- nyura
abahanyuraga	a- ba- ha- nyura -aga
abahanywera	a- ba- ha- nywa -ir
abahanzweho	a- ba- hanzwe -ho
abahara	a- ba- hara
abaharangije	a- ba- ha- rangije
abaharangiza	a- ba- ha- rangiza
abaharanira	a- ba- haranira
abahararira	a- ba- ha- rara -ir
abaharariye	a- ba- ha- rara -iye
abahari	a- ba- ha- ri
abaharinda	a- ba- ha- rinda
abaharokoye	a- ba- ha- rokoye
abaharuhukiye	a- ba- ha- ruhuka -iye
abaharuye	a- ba- haruye
abaharwariye	a- ba- ha- rwara -iye
abahasabye	a- ba- ha- sabye
abahasanzwe	a- ba- ha- sanzwe
abahasazwe	a- ba- ha- saza -w -e
abahashyinguye	a- ba- ha- shyinguye
abahasiga	a- ba- ha- siga
abahasigaye	a- ba- ha- sigaye
abahasohokera	a- ba- ha- sohoka -ir
abahata	a- ba- hata
abahatanira	a- ba- ha- tana -ir
abahategera	a- ba- ha- tega -ir
abahatira	a- ba- ha- tira
abahatse	a- ba- hatse
abahaturiye	a- ba- ha- tura -iye
abahatuye	a- ba- ha- tuye
abahavuka	a- ba- ha- vuka
abahavuriwe	a- ba- ha- vura -iye -w
abahawe	a- ba- hawe
abahaye	a- ba- haye
abahayobora	a- ba- ha- yobora
abahaza	a- ba- haza
abahazaga	a- ba- haza -aga
abahazi	a- ba- ha- zi
abahebwa	a- ba- heba -w
abahebwe	a- ba- heba -w -e
abahegereye	a- ba- ha- egereye
abahejwe	a- ba- ha- ejwe
abahekwa	a- ba- heka -w
abahemba	a- ba- hemba
abahembe	a- ba- hemba -e
abahembera	a- ba- hemba -ir
abahembwa	a- ba- hemba -w
abahembwe	a- ba- hemba -w -e
abahemukiwe	a- ba- hemuka -iye -w
abahemukiye	a- ba- hemuka -iye
abahemutse	a- ba- hemutse
abahenda	a- ba- henda
abahendwa	a- ba- henda -w
abahengera	a- ba- ha- enga -ir
abahenze	a- ba- henze
abahera	a- ba- hera
abaheraho	a- ba- hera -ho
abaheranye	a- ba- hera -an -ye
abaherekeza	a- ba- herekeza
abaherekezwa	a- ba- herekeza -w
abahereye	a- ba- hereye
abaheruka	a- ba- heruka
abaherukira	a- ba- heruka -ir
abaherutse	a- ba- herutse
abaherwe	a- ba- hera -w -e
abahesha	a- ba- ha -ish
abaheza	a- ba- heza
abaheze	a- ba- heze
abahezwaga	a- ba- ha- ezwa -aga
abahicaga	a- ba- ha- ica -aga
abahiciwe	a- ba- ha- ica -iye -w
abahiga	a- ba- higa
abahigaga	a- ba- higa -aga
abahigagwa	a- ba- ha- i- gaga -w
abahiganirwaga	a- ba- ha- i- ganira -w -aga
abahige	a- ba- higa -e
abahigira	a- ba- higa -ir
abahigisha	a- ba- ha- igisha
abahigishaga	a- ba- ha- igisha -aga
abahigura	a- ba- ha- i- gura
abahigwaga	a- ba- higa -w -aga
abahima	a- ba- ha- ima
abahimba	a- ba- himba
abahimbira	a- ba- himba -ir
abahimbye	a- ba- himba -ye
abahinduka	a- ba- hinduka
abahindukira	a- ba- hindukira
abahindura	a- ba- hindura
abahinduriwe	a- ba- hindura -iye -w
abahinduriye	a- ba- hindura -iye
abahindutse	a- ba- hindutse
abahinga	a- ba- hinga
abahingaga	a- ba- hinga -aga
abahingisha	a- ba- hinga -ish
abahinze	a- ba- hinze
abahirahira	a- ba- ha- i- rahira
abahire	a- ba- ha -ir -e
abahirirwa	a- ba- ha- irirwa
abahirwaga	a- ba- hirwa -aga
abahise	a- ba- hise
abahisemo	a- ba- hise -mo
abahisha	a- ba- hisha
abahishe	a- ba- hishe
abahishira	a- ba- hisha -ir
abahishiriwe	a- ba- hisha -ir -iye -w
abahishiriye	a- ba- hisha -ir -iye
abahishiye	a- ba- hisha -iye
abahishwe	a- ba- ha- ishwe
abahita	a- ba- hita
abahitamo	a- ba- hita -mo
abahitanwa	a- ba- hita -an -w
abahitanwaga	a- ba- hita -an -w -aga
abahitanye	a- ba- hita -an -ye
abahivurije	a- ba- ha- i- vura -ije
abahize	a- ba- hize
abahizi	a- ba- ha- i- zi
abaho	a- ba -ho
abahombye	a- ba- homba -ye
abahora	a- ba- hora
abahoraga	a- ba- hora -aga
abahoraho	a- ba- hora -ho
abahorana	a- ba- hora -an
abahoreye	a- ba- horeye
abahoye	a- ba- hoye
abahozaho	a- ba- hoza -ho
abahoze	a- ba- hoze
abahugura	a- ba- hugura
abahuguraga	a- ba- hugura -aga
abahuguramo	a- ba- hugura -mo
abahuguriwe	a- ba- hugura -iye -w
abahugurwa	a- ba- hugurwa
abahugurwaga	a- ba- hugurwa -aga
abahuguwe	a- ba- huguwe
abahuguye	a- ba- huguye
abahuguza	a- ba- huguza
abahumeka	a- ba- humeka
abahumetse	a- ba- humetse
abahumuriza	a- ba- humuriza
abahumurize	a- ba- humuriza -e
abahumye	a- ba- humye
abahunga	a- ba- hunga
abahungaga	a- ba- hunga -aga
abahungana	a- ba- hunga -an
abahungishijwe	a- ba- hunga -ish -ije -w
abahungiye	a- ba- hungiye
abahunguka	a- ba- hunguka
abahungutse	a- ba- hungutse
abahunyiza	a- ba- hunyiza
abahunze	a- ba- hunze
abahura	a- ba- hura
abahurira	a- ba- hura -ir
abahuriye	a- ba- hura -iye
abahururijwe	a- ba- hurura -ije -w
abahuye	a- ba- huye
abahuze	a- ba- huze
abaje	a- baje
abajije	a- bajije
abajijuka	a- ba- jijuka
abajijutse	a- ba- jijutse
abajijwe	a- ba- jijwe
abajugunywa	a- ba- jugunya -w
abajugunywe	a- ba- jugunya -w -e
abajugunywemo	a- ba- jugunya -w -e -mo
abajurira	a- ba- jurira
abajuriye	a- ba- juriye
abajya	a- ba- jya
abajyaga	a- ba- jya -aga
abajyamo	a- ba- jya -mo
abajyana	a- ba- jyana
abajyanamo	a- ba- jyana -mo
abajyanwa	a- ba- jyana -w
abajyanye	a- ba- jyanye
abajyayo	a- ba- jya -yo
abaka	a- ba- aka
abakaba	a- ba- ka- ba
abakabaye	a- ba- ka- baye
abakabwa	a- ba- ka- ba -w
abakabya	a- ba- kabya
abakagana	a- ba- ka- gana
abakagirana	a- ba- ka- gira -an
abakagize	a- ba- ka- gize
abakagombye	a- ba- ka- gombye
abakagwa	a- ba- ka- gwa
abakajya	a- ba- ka- jya
abakama	a- ba- kama
abakamura	a- ba- kamura
abakandagiye	a- ba- kandagiye
abakandika	a- ba- ka- andika
abakandikirwa	a- ba- ka- andika -ir -w
abakaneye	a- ba- ka- neye
abakanga	a- ba- kanga
abakangura	a- ba- kangura
abakangurira	a- ba- kangura -ir
abakangurire	a- ba- kangura -ir -e
abakanyweragamo	a- ba- ka- nywa -ir -aga -mo
abakarengera	a- ba- ka- rengera
abakata	a- ba- kata
abakatirwa	a- ba- kata -ir -w
abakatisha	a- ba- kata -ish
abakatiwe	a- ba- kata -iye -w
abakavukire	a- ba- ka- vuka -ir -e
abakazi	a- ba- ka- zi
abake	a- ba- aka -e
abakeba	a- ba- keba
abakeka	a- ba- keka
abakekaga	a- ba- keka -aga
abakekwa	a- ba- keka -w
abakekwaga	a- ba- keka -w -aga
abakekwagaho	a- ba- keka -w -aga -ho
abakekwaho	a- ba- keka -w -ho
abakemera	a- ba- ka- emera
abakenera	a- ba- kenera
abakeneraga	a- ba- kenera -aga
abakeneye	a- ba- keneye
abakeneyeho	a- ba- keneye -ho
abakennye	a- ba- kennye
abakenwe	a- ba- kena -w -e
abakenye	a- ba- kena -ye
abakera	a- ba- kera
abakererewe	a- ba- kererewe
abakererwa	a- ba- kererwa
abakesha	a- ba- kesha
abaketse	a- ba- ketse
abakiba	a- ba- ki- ba
abakibaga	a- ba- ki- baga
abakibiba	a- ba- ki- biba
abakibonye	a- ba- ki- bonye
abakiboshye	a- ba- ki- boshye
abakibwira	a- ba- ki- bwira
abakibyara	a- ba- ki- byara
abakicwa	a- ba- ka- icwa
abakiga	a- ba- ka- iga
abakigana	a- ba- ki- gana
abakigaragara	a- ba- ki- garagara
abakigaragaraho	a- ba- ki- garagara -ho
abakigaragaza	a- ba- ki- garagaza
abakigendera	a- ba- ka- igendera
abakigenderera	a- ba- ka- igendera -ir
abakigera	a- ba- ki- gera
abakigira	a- ba- ki- gira
abakigizemo	a- ba- ki- gize -mo
abakigura	a- ba- ki- gura
abakigurisha	a- ba- ki- gurisha
abakihiga	a- ba- ki- higa
abakijije	a- ba- kijije
abakijijwe	a- ba- kijijwe
abakijya	a- ba- ki- jya
abakikije	a- ba- kikije
abakimaze	a- ba- ki- maze
abakimeze	a- ba- ki- meze
abakina	a- ba- kina
abakinaga	a- ba- kina -aga
abakingira	a- ba- kinga -ir
abakingire	a- ba- kinga -ir -e
abakingirwa	a- ba- kinga -ir -w
abakingurire	a- ba- kingura -ir -e
abakinira	a- ba- kina -ir
abakiniraga	a- ba- kina -ir -aga
abakinire	a- ba- kina -ir -e
abakinisha	a- ba- kinisha
abakinishe	a- ba- kinisha -e
abakinishijwe	a- ba- kinisha -ije -w
abakinjira	a- ba- ka- injira
abakinnye	a- ba- ki- nnya -e
abakinywa	a- ba- ki- nywa
abakira	a- ba- kira
abakirangwa	a- ba- ki- ranga -w
abakiranirwa	a- ba- kiranirwa
abakirarana	a- ba- ki- rara -an
abakirenga	a- ba- ki- renga
abakirengana	a- ba- ki- renga -an
abakirenganwa	a- ba- ki- renga -an -w
abakiri	a- ba- ki- ri
abakiriho	a- ba- ki- ri -ho
abakirimo	a- ba- ki- ri -mo
abakirira	a- ba- kira -ir
abakiriwe	a- ba- ki- riwe
abakiriye	a- ba- akiriye
abakiroshyemo	a- ba- ki- roshye -mo
abakirwa	a- ba- kira -w
abakirwara	a- ba- ki- rwara
abakirwaye	a- ba- ki- rwaye
abakirya	a- ba- ki- rya
abakiryama	a- ba- ki- ryama
abakitabiriye	a- ba- ka- itaba -ir -iye
abakiva	a- ba- ki- va
abakivuga	a- ba- ki- vuga
abakivugwa	a- ba- ki- vuga -w
abakivuka	a- ba- ki- vuka
abakivukamo	a- ba- ki- vuka -mo
abakivunikiye	a- ba- ki- vunikiye
abakiyinjiramo	a- ba- ka- i- injira -mo
abakiyobora	a- ba- ki- yobora
abakiyoboraga	a- ba- ki- yobora -aga
abakiyumvamo	a- ba- ka- i- umva -mo
abakizamuka	a- ba- ki- zamuka
abakize	a- ba- kize
abakizemo	a- ba- kize -mo
abakizihiza	a- ba- ka- izihiza
abakizwa	a- ba- kizwa
abakodesha	a- ba- kodesha
abakodeshaga	a- ba- kodesha -aga
abakodesheje	a- ba- kodesheje
abakodeshwa	a- ba- kodesha -w
abakoherezwa	a- ba- ka- ohereza -w
abakoje	a- ba- koje
abakolonije	a- ba- kolonije
abakomeje	a- ba- komeje
abakomerekejwe	a- ba- komereka -ije -w
abakomeretse	a- ba- komeretse
abakomeye	a- ba- komeye
abakomeza	a- ba- komeza
abakomeze	a- ba- komeza -e
abakomoka	a- ba- komoka
abakomokaga	a- ba- komoka -aga
abakongezamo	a- ba- kongeza -mo
abakopera	a- ba- kopera
abakoporora	a- ba- koporora
abakoporoye	a- ba- koporoye
abakora	a- ba- kora
abakoraga	a- ba- kora -aga
abakorana	a- ba- korana
abakoranaga	a- ba- korana -aga
abakoranye	a- ba- koranye
abakorera	a- ba- korera
abakoreraga	a- ba- korera -aga
abakorere	a- ba- korera -e
abakorerwa	a- ba- korerwa
abakorerwamo	a- ba- korerwa -mo
abakoreshaga	a- ba- koresha -aga
abakoreshe	a- ba- koresha -e
abakoresheje	a- ba- koresheje
abakoreshejwe	a- ba- koresha -ije -w
abakoreshejweho	a- ba- koresha -ije -w -ho
abakoreshwa	a- ba- koreshwa
abakoreshwaga	a- ba- koreshwa -aga
abakorewe	a- ba- korewe
abakoreweho	a- ba- korewe -ho
abakoreye	a- ba- koreye
abakowe	a- ba- kowe
abakoze	a- ba- koze
abakozeho	a- ba- koze -ho
abakozweho	a- ba- kozwe -ho
abakubiswe	a- ba- ku- bisa -w -e
abakubita	a- ba- kubita
abakubitaga	a- ba- kubita -aga
abakubiye	a- ba- kuba -iye
abakubwira	a- ba- ku- bwira
abakubye	a- ba- kubye
abakugana	a- ba- ku- gana
abakugiriye	a- ba- ku- gira -iye
abakumbuye	a- ba- kumbuye
abakumva	a- ba- ka- umva
abakunda	a- ba- kunda
abakundaga	a- ba- kunda -aga
abakundana	a- ba- kundana
abakundanaga	a- ba- kundana -aga
abakundanye	a- ba- kundanye
abakundisha	a- ba- kunda -ish
abakundwa	a- ba- kunda -w
abakungirije	a- ba- ka- unga -ir -ije
abakunze	a- ba- kunze
abakura	a- ba- kura
abakuraho	a- ba- kura -ho
abakuramo	a- ba- kura -mo
abakurayo	a- ba- kura -yo
abakureba	a- ba- ku- reba
abakureze	a- ba- ku- reze
abakuriye	a- ba- kura -iye
abakurura	a- ba- kurura
abakururwa	a- ba- kurura -w
abakurwa	a- ba- kura -w
abakuye	a- ba- kuye
abakuyemo	a- ba- kuyemo
abakuze	a- ba- kuze
abakwa	a- ba- kwa
abakwemera	a- ba- ku- emera
abakwibutsa	a- ba- ku- ibutsa
abakwiciye	a- ba- ku- iciye
abakwifuza	a- ba- ku- ifuza
abakwiga	a- ba- ku- iga
abakwiriye	a- ba- kwiriye
abakwirukanye	a- ba- ku- irukanye
abakwisekera	a- ba- ku- i- seka -ir
abakwitwa	a- ba- ku- itwa
abakwiye	a- ba- kwa -iye
abakwiza	a- ba- ku- i- za
abakwizamo	a- ba- ku- i- za -mo
abamamaje	a- ba- amamaje
abamamaza	a- ba- amamaza
abamanukira	a- ba- manuka -ir
abamanura	a- ba- manura
abamara	a- ba- mara
abamaranye	a- ba- mara -an -ye
abamarira	a- ba- mara -ir
abamariye	a- ba- mara -iye
abamaze	a- ba- maze
abamazemo	a- ba- maze -mo
abambara	a- ba- ambara
abambarira	a- ba- ambara -ir
abambaye	a- ba- ambaye
abambere	a- bamba -ir -e
abambona	a- ba- n- bona
abambonye	a- ba- n- bonye
abambuka	a- ba- ambuka
abambura	a- bambura
abamburwa	a- bambura -w
abambuye	a- bambuye
abambwira	a- ba- n- bwira
abambwiye	a- ba- n- bwiye
abamena	a- ba- mena
abameneshejwe	a- ba- mena -ish -ije -w
abamennye	a- ba- mennye
abamenya	a- ba- menya
abamenyakanisha	a- ba- menyakana -ish
abamenye	a- ba- menye
abamenyereye	a- ba- menyereye
abamenyesha	a- ba- menya -ish
abamenyeshejwe	a- ba- menya -ish -ije -w
abamera	a- ba- mera
abamere	a- ba- mera -e
abamerera	a- ba- mera -ir
abameseramo	a- ba- mesa -ir -mo
abameze	a- ba- meze
abamfasha	a- ba- n- fasha
abamfashije	a- ba- n- fashije
abamo	a- ba -mo
abamuba	a- ba- mu- ba
abamubajije	a- ba- mu- bajije
abamubambye	a- ba- mu- bambye
abamubona	a- ba- mu- bona
abamubonye	a- ba- mu- bonye
abamuburanira	a- ba- mu- burana -ir
abamubwira	a- ba- mu- bwira
abamubwiwe	a- ba- mu- ba -w -iye -w
abamubyaye	a- ba- mu- byaye
abamucaga	a- ba- mu- ca -aga
abamufasha	a- ba- mu- fasha
abamufashije	a- ba- mu- fashije
abamufata	a- ba- mu- fata
abamufiteho	a- ba- mu- fite -ho
abamugabiye	a- ba- mu- gaba -iye
abamugana	a- ba- mu- gana
abamuganaga	a- ba- mu- gana -aga
abamugaye	a- ba- mu- gaye
abamugenzura	a- ba- mu- genzura
abamugereranya	a- ba- mu- gereranya
abamugira	a- ba- mu- gira
abamugiriye	a- ba- mu- gira -iye
abamugurira	a- ba- mu- gura -ir
abamuguye	a- ba- mu- guye
abamuha	a- ba- mu- ha
abamuhagarariye	a- ba- mu- hagarariye
abamuhagaritse	a- ba- mu- hagaritse
abamuhamagara	a- ba- mu- hamagara
abamuhana	a- ba- mu- hana
abamuhaye	a- ba- mu- haye
abamuhemukiye	a- ba- mu- hemuka -iye
abamuherekeje	a- ba- mu- herekeje
abamuhisemo	a- ba- mu- hise -mo
abamuhize	a- ba- mu- hize
abamuhoraga	a- ba- mu- hora -aga
abamuhungiyeho	a- ba- mu- hungiye -ho
abamujyana	a- ba- mu- jyana
abamujyanye	a- ba- mu- jyanye
abamukeneye	a- ba- mu- keneye
abamukikije	a- ba- mu- kikije
abamukodesha	a- ba- mu- kodesha
abamukomokaho	a- ba- mu- komoka -ho
abamukomotseho	a- ba- mu- komotse -ho
abamukorera	a- ba- mu- korera
abamukoresha	a- ba- mu- koresha
abamukoreshaga	a- ba- mu- koresha -aga
abamukunda	a- ba- mu- kunda
abamukundaga	a- ba- mu- kunda -aga
abamukuriye	a- ba- mu- kura -iye
abamunyuraho	a- ba- mu- nyura -ho
abamurashe	a- ba- mu- rashe
abamurega	a- ba- mu- rega
abamuregaga	a- ba- mu- rega -aga
abamurenganya	a- ba- mu- renganya
abamurengera	a- ba- mu- rengera
abamurera	a- ba- mu- rera
abamureraga	a- ba- mu- rera -aga
abamureze	a- ba- mu- reze
abamuri	a- ba- mu- ri
abamurika	a- ba- murika
abamurikaga	a- ba- murika -aga
abamurikira	a- ba- murika -ir
abamurinda	a- ba- mu- rinda
abamuritse	a- ba- muritse
abamuroshyemo	a- ba- mu- roshye -mo
abamuruse	a- ba- mu- ruse
abamurusha	a- ba- mu- rusha
abamuruta	a- ba- mu- ruta
abamurwanya	a- ba- mu- rwanya
abamusabye	a- ba- mu- sabye
abamusanze	a- ba- mu- sanze
abamushaka	a- ba- mu- shaka
abamushakaga	a- ba- mu- shaka -aga
abamushima	a- ba- mu- shima
abamushinja	a- ba- mu- shinja
abamushinjaga	a- ba- mu- shinja -aga
abamushinjije	a- ba- mu- shinja -ije
abamushuka	a- ba- mu- shuka
abamushukisha	a- ba- mu- shuka -ish
abamushyigikira	a- ba- mu- shyigikira
abamushyigikiye	a- ba- mu- shyigikiye
abamusimbura	a- ba- mu- simbura
abamusimbuye	a- ba- mu- simbuye
abamusunika	a- ba- mu- sunika
abamutangira	a- ba- mu- tangira
abamutanze	a- ba- mu- tanze
abamutaye	a- ba- mu- taye
abamutegereje	a- ba- mu- tegereje
abamutemye	a- ba- mu- temye
abamutera	a- ba- mu- tera
abamuterura	a- ba- mu- terura
abamuteye	a- ba- mu- teye
abamuteze	a- ba- mu- teze
abamutora	a- ba- mu- tora
abamutoye	a- ba- mu- toye
abamutumiye	a- ba- mu- tumiye
abamutumye	a- ba- mu- tumye
abamutwariye	a- ba- mu- twara -iye
abamutwaye	a- ba- mu- twaye
abamuvuga	a- ba- mu- vuga
abamuvutsa	a- ba- mu- vutsa
abamuvuye	a- ba- mu- vuye
abamuvuza	a- ba- mu- vuza
abamuyobora	a- ba- mu- yobora
abamuyoboraga	a- ba- mu- yobora -aga
abamuzi	a- ba- mu- zi
aban	a- ba -an
abanangiye	a- ba- n- angiye
abananiranye	a- ba- nanira -an -ye
abananiwe	a- ba- naniwe
abananiye	a- ba- naniye
abandeba	a- ba- n- reba
abandika	a- ba- andika
abandikaho	a- ba- andika -ho
abandikira	a- ba- andika -ir
abandikirwa	a- ba- andika -ir -w
abandikiwe	a- ba- andika -iye -w
abandikiye	a- ba- andika -iye
abanditse	a- ba- anditse
abandura	a- ba- n- rura
abandurira	a- ba- n- rura -ir
abandyamye	a- ba- n- ryamye
abane	a- bana -e
abanegura	a- ba- negura
abanenga	a- ba- n- enga
abanga	a- ba- anga
abangaba	a- ba- n- gaba
abangaga	a- ba- n- gaga
abangana	a- ba- ngana
abanganira	a- ba- n- ganira
abanganya	a- ba- nganya
abangejejeho	a- ba- n- gejeje -ho
abangendera	a- ba- n- genda -ir
abangije	a- ba- angije
abangikanya	a- bangikanya
abangirijwe	a- ba- angira -ije -w
abangirira	a- ba- angirira
abangiriye	a- ba- angiriye
abangiza	a- ba- angiza
abangomba	a- ba- n- gomba
abangurira	a- ba- n- gura -ir
abangurwa	a- ba- n- gurwa
abani	a- ba- ni
abanini	a- ba- n- i- ni
abanje	a- ba- n- je
abanjije	a- banjije
abankunda	a- ba- n- kunda
abansengeye	a- ba- n- sengeye
abanshakana	a- ba- n- shakana
abanshuka	a- ba- n- shuka
abanshyira	a- ba- n- shyira
abanta	a- ba- n- ta
abantera	a- ba- n- tera
abanteraga	a- ba- n- tera -aga
abanteye	a- ba- n- teye
abantwikiye	a- ba- n- twikiye
abanuka	a- ba- nuka
abanwagamo	a- bana -w -aga -mo
abanyagirwa	a- ba- nyagirwa
abanyarwa	a- ba- nyara -w
abanyazwe	a- ba- nyazwa -e
abanye	a- banye
abanyobora	a- ba- n- yobora
abanyoye	a- ba- nyoye
abanyura	a- ba- nyura
abanyuranije	a- ba- nyura -an -ije
abanyuze	a- ba- nyuze
abanyuzeho	a- ba- nyuze -ho
abanywa	a- ba- nywa
abanywaga	a- ba- nywa -aga
abanywera	a- ba- nywa -ir
abanywesha	a- ba- nywa -ish
abanza	a- banza
abanze	a- banza -e
abanziriza	a- banziriza
abanzirizaga	a- banziriza -aga
abanzirizwa	a- banziriza -w
abapakururira	a- ba- pakurura -ir
abapfa	a- ba- pfa
abapfaga	a- ba- pfa -aga
abapfagamo	a- ba- pfa -aga -mo
abapfakaye	a- ba- pfakaye
abapfana	a- ba- pfa -an
abapfiraga	a- ba- pfa -ir -aga
abapfiriye	a- ba- pfa -ir -iye
abapfiriyeyo	a- ba- pfa -ir -iye -yo
abapfushije	a- ba- pfushije
abapfuye	a- ba- pfuye
abapima	a- ba- pima
abapimaga	a- ba- pima -aga
abapimiwe	a- ba- pima -iye -w
abapimwe	a- ba- pima -w -e
abara	a- bara
abaraganwa	a- ba- raga -an -w
abaragira	a- ba- ragira
abarahiye	a- ba- rahiye
abaraho	a- bara -ho
abarakara	a- ba- rakara
abarakare	a- ba- rakara -e
abarambiwe	a- ba- ramba -iye -w
abarambye	a- ba- rambye
abaramo	a- bara -mo
abaramukije	a- ba- ramukije
abaramutse	a- ba- ramutse
abaramya	a- ba- ramya
abaranduriwe	a- ba- randura -iye -w
abaranduye	a- ba- randuye
abaranga	a- ba- ranga
abarangije	a- ba- rangije
abarangirije	a- ba- rangira -ije
abarangiza	a- ba- rangiza
abarangizaga	a- ba- rangiza -aga
abarangizamo	a- ba- rangiza -mo
